,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
87,0.07015541,0.060400482,0.07810314,0.08388257,0.076828085,0.088633515,0.06793102,0.092820734,0.07340336,0.08862521,5315847
88,0.07924878,0.056654148,0.0934913,0.08145204,0.08040269,0.087901324,0.06132056,0.09589131,0.08325789,0.091524124,134245359
89,0.07891607,0.05704529,0.072398864,0.08721346,0.08186051,0.086297825,0.068219505,0.08782967,0.08181093,0.08763552,99480601
90,0.036146436,0.06889779,0.018187853,0.03169411,0.03786815,0.036807265,0.06430114,0.033205416,0.027613685,0.052984267,46178447
91,0.07379595,0.05794626,0.0618085,0.08738222,0.075124994,0.082659826,0.06910044,0.0920119,0.07201937,0.07866725,60637252
92,0.07526889,0.076132104,0.047312208,0.052279048,0.0553016,0.06879173,0.099541605,0.060529858,0.062839836,0.12236446,67809135
93,0.056388438,0.054561295,0.06128671,0.08154699,0.068853356,0.074327335,0.06976275,0.08303067,0.042260326,0.06492215,103553857
94,0.087867334,0.0665649,0.08712803,0.08962276,0.083800524,0.0928424,0.048220754,0.08289048,0.09394178,0.10516399,200750991
95,0.07595374,0.07328237,0.06693563,0.100121275,0.0946544,0.106806904,0.087746836,0.10675912,0.081168115,0.09164332,181695848
96,0.06635669,0.044289835,0.081948236,0.09497818,0.071913764,0.08513934,0.055125978,0.09741488,0.06847276,0.061691713,7308736
97,0.07277921,0.066655055,0.0825162,0.09963144,0.08290076,0.092676625,0.07336956,0.099405706,0.075271875,0.08289135,76169655
98,0.08107523,0.071419545,0.07593381,0.09969478,0.08998884,0.09862974,0.07514595,0.101155885,0.080774456,0.08546395,17614637
99,0.048744723,0.05829137,0.08947472,0.08097816,0.08332862,0.07302265,0.06856603,0.09790437,0.04139038,0.062122867,129997203
100,0.070702925,0.06498651,0.089899,0.1003657,0.088506274,0.0982724,0.079592444,0.11055133,0.06944425,0.07222261,86981001
101,0.063537195,0.063808754,0.07025057,0.07715027,0.066030346,0.07125299,0.072331846,0.08863126,0.043754477,0.067183785,178303212
102,0.029624652,0.038162373,0.043273583,0.030749831,0.025999416,0.03816597,0.04403399,0.040159162,0.027154362,0.05777517,58693284
