,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power,song_id
85,0.23349795,0.15682511,0.2224467,0.2535084,0.22460675,0.25278106,0.187789,0.24218209,0.19618042,0.2541067,85345213
86,0.1488554,0.069468595,0.10477121,0.14234224,0.12151097,0.14413668,0.10167934,0.12887412,0.13580668,0.15361951,14469100
87,0.20668295,0.13015613,0.19168697,0.21566784,0.19442607,0.22184336,0.15871105,0.2083987,0.1825647,0.23301437,5315847
88,0.22532862,0.15479772,0.23981702,0.24083257,0.22380453,0.2447098,0.17086393,0.23478332,0.209717,0.2500193,134245359
89,0.23530743,0.16353205,0.22093463,0.24868137,0.22993428,0.2524132,0.18114075,0.2319228,0.21418476,0.25423467,99480601
90,0.08952022,0.036773287,0.04470851,0.077060305,0.06919268,0.07567558,0.051939692,0.07900518,0.04990918,0.09665707,46178447
91,0.23549116,0.1435517,0.20344095,0.24910139,0.21862525,0.24538279,0.17290904,0.23690872,0.20366052,0.25521922,60637252
92,0.19300285,0.12960672,0.15510571,0.18831669,0.17734587,0.20061415,0.18936212,0.18530962,0.1926722,0.26390645,67809135
93,0.18208982,0.100910574,0.16521184,0.20380172,0.1727579,0.19411065,0.122633584,0.19016024,0.15292992,0.19646761,103553857
94,0.27066976,0.19761987,0.2701113,0.27683935,0.26310915,0.28838676,0.19333729,0.25008875,0.25688764,0.30152333,200750991
95,0.25109386,0.16492862,0.21659273,0.278768,0.24785781,0.2856238,0.20142166,0.2691617,0.2249401,0.27873197,181695848
96,0.21059714,0.13907567,0.215469,0.24758723,0.20906034,0.24092013,0.16482271,0.23228456,0.19575077,0.2312291,7308736
97,0.23389031,0.15830907,0.22252524,0.26154572,0.22987488,0.2568686,0.18956119,0.24380764,0.21044032,0.25670534,76169655
98,0.22765371,0.15327145,0.20986521,0.24855807,0.22045982,0.24813609,0.17332421,0.23169495,0.20158131,0.24192388,17614637
99,0.16263081,0.10000646,0.1589499,0.1786237,0.15976253,0.17062223,0.12573457,0.18069153,0.12781543,0.17182167,129997203
100,0.19789073,0.1300172,0.18983915,0.22237644,0.1937666,0.2227789,0.15518747,0.21088764,0.17645958,0.21254583,86981001
101,0.15382212,0.09312562,0.13613662,0.15300107,0.13745749,0.15359439,0.12108878,0.15419039,0.13456357,0.16107325,178303212
102,0.09984275,0.045769602,0.06211406,0.0723771,0.06900121,0.074031815,0.038950495,0.07393478,0.06250949,0.106278464,58693284
103,0.23504001,0.15982015,0.2251944,0.26628795,0.23104572,0.26738417,0.17963323,0.23877622,0.2108469,0.24692817,203148074
104,0.23037034,0.16030803,0.21151921,0.24204238,0.22077523,0.24327308,0.17499253,0.2273092,0.19605896,0.24847676,17516504
105,0.21785589,0.14727624,0.21535128,0.24689807,0.21610112,0.24091108,0.16831398,0.23068699,0.19192083,0.24050829,51846914
106,0.2379203,0.1663441,0.22621688,0.26666838,0.23425445,0.25894114,0.1862218,0.24822706,0.20341946,0.2544976,212958532
107,0.10572831,0.06778219,0.106444374,0.11335832,0.1019218,0.11034534,0.076918244,0.1152633,0.07744212,0.109432876,2135522
